Product Code (كود المنتج),Product Name (اسم المنتج),Product Name English,Company (الشركة),% (of Blend) (نسبة الخلط),Description (وصف المنتج),الوصف,Flavor Metrics (المقاييس),Brewing Notes (ملحوظات التحضير),Brewing Notes English
CR002,كولد برو اثيوبيا يلجشفي,Cold Brew Ethiopia Yirgacheffe,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR003,كولد برو كولومبيا سوبريمو,Cold Brew Colombia Supremo,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR004,كولد برو اثيوبيا ييرجا,Cold Brew Ethiopia Yirga,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR005,كولد برو موكا,Cold Brew Mocha,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR006,كولد برو سومطرة,Cold Brew Sumatra,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR007,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR008,كولد برو سيدامو,Cold Brew Sidamo,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR009,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR010,كولد برو موكا ييرجا,Cold Brew Mocha Yirga,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR011,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR012,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR013,كولد برو موكا,Cold Brew Mocha,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR014,كولد برو سومطرة,Cold Brew Sumatra,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR015,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR016,كولد برو سيدامو,Cold Brew Sidamo,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR017,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR018,كولد برو موكا ييرجا,Cold Brew Mocha Yirga,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR019,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR020,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR021,كولد برو موكا,Cold Brew Mocha,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR022,كولد برو سومطرة,Cold Brew Sumatra,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR023,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR024,كولد برو سيدامو,Cold Brew Sidamo,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR025,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR026,كولد برو موكا ييرجا,Cold Brew Mocha Yirga,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR027,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR028,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR029,كولد برو موكا,Cold Brew Mocha,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
CR030,كولد برو سومطرة,Cold Brew Sumatra,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 3 / Acidity 3 / 30%,٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,500ml water / 94°C / Steep 2:05 min, water 93°C
FP-001,قهوة ييرجا تشافا,Yirga Chaffee Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-002,قهوة كولومبيا سوبريمو,Colombia Supremo Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-003,قهوة موكا,Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-004,قهوة سومطرة,Sumatra Coffee,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-005,قهوة اثيوبيا سيدامو,Ethiopia Sidamo Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-006,قهوة اثيوبيا ييرجا,Ethiopia Yirga Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-007,قهوة كولومبيا,Colombia Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-008,قهوة ييرجا موكا موتو,Yirga Mocha Moto Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-009,قهوة بون بون موكا,Bun Bun Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-010,قهوة ييرجا واريجودا,Yirga Wariguda Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-011,قهوة اثيوبيا ايربون ييرغا تشافا,Ethiopia Irbone Yirga Chaffee Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-012,قهوة ييرجا تشافانشو,Yirga Chafanso Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-013,قهوة ييرجا موكا,Yirga Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-014,قهوة اثيوبيا,Ethiopia Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-015,قهوة كولومبيا سوبريمو,Colombia Supremo Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-016,قهوة موكا,Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / 92°C / Steep 4 min, water 92°C
FP-017,قهوة سومطرة,Sumatra Coffee,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-018,قهوة اثيوبيا سيدامو,Ethiopia Sidamo Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-019,قهوة اثيوبيا ييرجا,Ethiopia Yirga Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-020,قهوة كولومبيا,Colombia Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-021,قهوة ييرجا موكا موتو,Yirga Mocha Moto Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-022,قهوة بون بون موكا,Bun Bun Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-023,قهوة ييرجا واريجودا,Yirga Wariguda Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-024,قهوة اثيوبيا ايربون ييرغا تشافا,Ethiopia Irbone Yirga Chaffee Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-025,قهوة ييرجا تشافانشو,Yirga Chafanso Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-026,قهوة ييرجا موكا,Yirga Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-027,قهوة اثيوبيا,Ethiopia Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-028,قهوة كولومبيا سوبريمو,Colombia Supremo Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-029,قهوة موكا,Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
FP-030,قهوة سومطرة,Sumatra Coffee,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٣٠ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,30g / 500ml water / Steep 4 min, water 92°C
TP-001,قهوة ييرجا تشافا,Yirga Chaffee Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-002,قهوة كولومبيا سوبريمو,Colombia Supremo Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-003,قهوة موكا,Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-004,قهوة سومطرة,Sumatra Coffee,SGL,100%,100% Indonesia / 100% Arabica - Refreshing cup,١٠٠٪؜ اندونيسيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-005,قهوة اثيوبيا سيدامو,Ethiopia Sidamo Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-006,قهوة اثيوبيا ييرجا,Ethiopia Yirga Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-007,قهوة كولومبيا,Colombia Coffee,SGL,100%,100% Colombia / 100% Arabica - Refreshing cup,١٠٠٪؜ كولومبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-008,قهوة ييرجا موكا موتو,Yirga Mocha Moto Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-009,قهوة بون بون موكا,Bun Bun Mocha Coffee,SGL,100%,100% Yemen / 100% Arabica - Refreshing cup,١٠٠٪؜ يمني / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-010,قهوة ييرجا واريجودا,Yirga Wariguda Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-011,قهوة اثيوبيا ايربون ييرغا تشافا,Ethiopia Irbone Yirga Chaffee Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
TP-012,قهوة ييرجا تشافانشو,Yirga Chafanso Coffee,SGL,100%,100% Ethiopia / 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا / ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 5 / Acidity 3 / 60%,٢٥ جرام / ٥٠٠ مل ماء / استخلاص ٤ د,25g / 500ml water / Steep 4 min, water 92°C
