Category,Code,Arabic,English,الأداة,الكود,الاسم التجاري,Product Name,التركيبة,Blend Composition,الوصف التسويقي للنكهة (للعميل),Marketing Description,المقاييس بالعربي,Flavor Metrics,ملاحظات التحضير,Brewing Notes,الاسم التجاري الجديد,الوصف التسويقي (يركز على الصحة والنكهة),كثافة التحميص,Roast Level,التحميص,Roast,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,,,فرنش برس,FP15,مونسونيد الهند,Mwnswnyd Alhnd,٨٠٪ هندي أرابيكا + ٢٠٪ هندي روبيستا,80% Indian Arabica + 20% Indian Robusta,تجربة هندية فريدة، تجمع بين دفء التوابل العطرية وحلاوة التمر الهندي اللاذعة.,"Comforting cup.
Flavor profile: date; low acidity; medium-full body.",وضوح 2 / حمضية 2 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 2 / Acidity 2 / Fragrance 4 / Complexity 5 / Body 4,نقع 4:30 د، ماء 94°م,Steep; 4:30 min; water 94°C.,,,,,,,,,,,,
,,,,فرنش برس,FP16,ألتورا المكسيك,أLtwra Almksyk,٦٠٪ بيرو + ٤٠٪ جواتيمالا,60% Peru + 40% Guatemala,كوب مريح ودافئ، يجمع بين حلاوة الفول السوداني المحمص ودفء القرفة العطرية.,"Comforting cup.
Flavor profile: cinnamon; balanced acidity; medium-full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 4,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 4,نقع 4 دقائق، ماء 92°م,Steep; 4 min; water 92°C.,,,,,,,,,,,,
,,,,فرنش برس,FP17,روبوستا إنتنسو,Rwbwsta إNtnsw,٦٠٪ برازيلي روبيستا + ٤٠٪ فيتنامي,60% Brazilian Robusta + 40% Vietnamese,قوة مركزة، كوب بنكهة دخانية كلاسيكية وحلاوة الكراميل المحروق الداكن.,"Signature cup.
Flavor profile: caramel; very low acidity; full body.",وضوح 1 / حمضية 1 / عطرية 3 / تعقيد 2.5 / قوام 5,Clarity 1 / Acidity 1 / Fragrance 3 / Complexity 2.5 / Body 5,نقع 4 دقائق، ماء 96°م,Steep; 4 min; water 96°C.,,,,,,,,,,,,
,,,,فرنش برس,FP18,توفي كولومبيا,Twfy Colombia,١٠٠٪ كولومبي (فاتح),100% Colombian (فاتح),فنجان رقيق ومريح كالشاي، يجمع بين نكهات الأعشاب العطرية وحلاوة العسل الصافي.,"Comforting cup.
Flavor profile: honey; bright acidity; medium body.",وضوح 5 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 3,Clarity 5 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 3,نقع 3:30 د، ماء 89°م,Steep; 3:30 min; water 89°C.,,,,,,,,,,,,
,,,,فرنش برس,FP19,لواك ستايل,Lwak Stayl,٥٠٪ إندونيسي + ٥٠٪ هندي مايسور,50% Indonesian + 50% Indian Mysore,تجربة كلاسيكية غنية، تجمع بين حلاوة التمر الداكنة وعمق النكهات الترابية الأصيلة.,"Signature cup.
Flavor profile: date; very low acidity; full body.",وضوح 2 / حمضية 1 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 2 / Acidity 1 / Fragrance 4 / Complexity 4 / Body 5,نقع 5 دقائق، ماء 90°م,Steep; 5 min; water 90°C.,,,,,,,,,,,,
,,,,فرنش برس,FP20,أفريكان بلند,أFrykan Blnd,٤٠٪ كيني + ٣٠٪ أوغندي + ٣٠٪ حبشي,40% Kenyan + 30% Ugandan + 30% Ethiopian,مزيج أفريقي معقد، يجمع بين حلاوة التين الداكنة ولمسة أنيقة من التوابل الحلوة.,"Signature cup.
Flavor profile: high acidity; medium-full body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 5 / قوام 4,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 5 / Body 4,نقع 4:30 د، تقليب مكثّف,Steep; 4:30 min; vigorous stir.,,,,,,,,,,,,
,,,,كاليتا,KW01,توليفتي™ غواتيمالا,Tawlifti Ghwatymala,١٠٠٪ بن جواتيمالا,100% بن Guatemala,فنجان متوازن وقوام ممتلئ، يجمع بين حلاوة الكرز ونعومة شوكولاتة الحليب.,"Signature cup.
Flavor profile: chocolate; balanced acidity; full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 5,صب حلزوني بسرعة ثابتة,Spiral pour,,,,,,,,,,,,
,,,,كاليتا,KW02,توليفتي™ برازيل,Tawlifti Brazyl,١٠٠٪ بن برازيلي سانتوس,100% بن Brazilian Santos,كوب كلاسيكي غني، بنكهة البندق المحمص والكراميل الحلو وقوام كريمي.,"Signature cup.
Flavor profile: caramel, hazelnut; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 3 / تعقيد 2 / قوام 5,Clarity 3 / Acidity 2 / Fragrance 3 / Complexity 2 / Body 5,3 صبات متساوية,3 equal pours,,,,,,,,,,,,
,,,,كاليتا,KW03,توليفتي™ إثيوبيا كاليتا,Tawlifti Ethiopia Kalita,١٠٠٪ بن حبشي هراري,100% بن Ethiopian Harrar,تجربة إثيوبية عطرية، تفوح منها رائحة الياسمين مع حمضية الليمون المنعشة وقوام متوازن.,"Refreshing cup.
Flavor profile: jasmine; high acidity; medium body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 4 / قوام 3,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 4 / Body 3,صب دائري بطيء جداً,Circular pour (very slow),,,,,,,,,,,,
,,,,كاليتا,KW04,كوستاريكا كريمي,Costa Rica Krymy,١٠٠٪ بن كوستا ريكي,100% بن Costa Rican,فنجان حلو وكريمي، يجمع بين حلاوة العسل الصافي ونعومة الفانيليا الدافئة.,"Signature cup.
Flavor profile: honey, vanilla; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 4,صب مزدوج (40%+60%),Double pour; split 40%+60%,,,,,,,,,,,,
,,,,كاليتا,KW05,موكا ديب,Mocha Dyb,١٠٠٪ بن يمني خولاني,100% بن Yemeni Khawlani,كوب يمني عميق وغني، يجمع حلاوة التمر مع مرارة الكاكاو الخام المحببة.,"Signature cup.
Flavor profile: cocoa, date; low acidity; full body.",وضوح 2 / حمضية 2 / عطرية 5 / تعقيد 5 / قوام 5,Clarity 2 / Acidity 2 / Fragrance 5 / Complexity 5 / Body 5,ماء 88°م + صب طبقي,Layered pour; water 88°C,,,,,,,,,,,,
,,,,كاليتا,KW06,كينيا برايت,Kynya Bright,١٠٠٪ كينا AAA,100% Kenya AAA,فنجان كيني جريء، يجمع بين حمضية العنب الأسود اللاذعة مع لمسة دافئة من التوابل.,"Bold cup.
Flavor profile: high acidity; medium-full body.",وضوح 4 / حمضية 5 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 4 / Acidity 5 / Fragrance 4 / Complexity 5 / Body 4,صب سريع متكرر,fast,,,,,,,,,,,,
,,,,كاليتا,KW07,بيرو هاي ألتيتيود,Byrw Hay أLtytywd,١٠٠٪ بن بيرو,100% بن Peru,كوب حلو وناعم، يجمع بين حلاوة فاكهة الكمثرى ونعومة الشوكولاتة البيضاء.,"Signature cup.
Flavor profile: chocolate; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 3 / تعقيد 3 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 3 / Complexity 3 / Body 4,صب حلزوني مكثف,Spiral pour (intense),,,,,,,,,,,,
,,,,كاليتا,KW08,مانديلينج كريمي,Mandheling Krymy,٧٠٪ هندي مايسور + ٣٠٪ إندونيسي,70% Indian Mysore + 30% Indonesian,تجربة غنية وقوام كريمي، تجمع بين حلاوة التوت الداكن وعمق رائحة خشب الصندل الفاخرة.,"Luxurious cup.
Flavor profile: berry; low acidity; full body.",وضوح 2 / حمضية 2 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 2 / Acidity 2 / Fragrance 4 / Complexity 4 / Body 5,صب بطيء على مراحل,slow,,,,,,,,,,,,
,,,,كاليتا,KW09,دا لات بولدر,Da Lat Bwldr,٨٠٪ فيتنامي + ٢٠٪ برازيلي,80% Vietnamese + 20% Brazilian,لمحبي القهوة القوية، فنجان جريء بنكهة خشب الأرز والكراميل المحروق وقوام ثقيل.,"Bold cup.
Flavor profile: caramel; very low acidity; full body.",وضوح 1 / حمضية 1 / عطرية 3 / تعقيد 2 / قوام 5,Clarity 1 / Acidity 1 / Fragrance 3 / Complexity 2 / Body 5,ماء 94°م,water 94°C,,,,,,,,,,,,
,,,,كاليتا,KW10,أوغندا شوكولاتي,أWghnda Shwkwlaty,٦٠٪ أوغندي + ٤٠٪ كولومبي,60% Ugandan + 40% Colombian,كوب غني بنكهة الشوكولاتة، يجمع بين عمق الكاكاو ولمسة دافئة من الفلفل الأسود.,"Signature cup.
Flavor profile: chocolate, cocoa; low acidity; full body.",وضوح 2 / حمضية 2 / عطرية 3 / تعقيد 3 / قوام 5,Clarity 2 / Acidity 2 / Fragrance 3 / Complexity 3 / Body 5,صب دائري,Circular pour,,,,,,,,,,,,
,,,,كاليتا,KW11,هويلا سويت,Huila Sweet,١٠٠٪ بن كولومبي,100% بن Colombian,فنجان كولومبي متوازن وحلو، يجمع بين نكهة التفاح الأحمر المنعشة وحلاوة العسل الصافي.,"Refreshing cup.
Flavor profile: honey, apple; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 4,صب حلزوني سريع,Spiral pour (fast),,,,,,,,,,,,
,,,,كاليتا,KW12,كونا كريم,Kwna Cream,٦٠٪ برازيلي + ٤٠٪ كوستا ريكي,60% Brazilian + 40% Costa Rican,كوب استوائي كريمي، يجمع بين حلاوة الأناناس المنعشة ونعومة الفانيليا الدافئة.,"Refreshing cup.
Flavor profile: pineapple, vanilla; balanced acidity; full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 5,صب مزدوج بفواصل,Double pour,,,,,,,,,,,,
,,,,كاليتا,KW13,سيدامو كلير,Sidamo Klyr,١٠٠٪ حبشي لقميتي,100% Ethiopian Lekemti,فنجان إثيوبي نقي ومشرق، يجمع بين حمضية البرتقال ولمسة الزنجبيل المنعشة.,"Refreshing cup.
Flavor profile: high acidity; medium body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 4 / قوام 3,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 4 / Body 3,ماء 89°م + صب دائري,Circular pour; water 89°C,,,,,,,,,,,,
,,,,كاليتا,KW14,مونسونيد إكسترا,Mwnswnyd إKstra,٨٥٪ هندي أرابيكا + ١٥٪ هندي روبيستا,85% Indian Arabica + 15% Indian Robusta,رحلة إلى الهند، فنجان غني بنكهات التوابل الدافئة وحلاوة التمر الهندي اللاذعة.,"A journey in a cup.
Flavor profile: date; balanced acidity; medium-full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 5 / Body 4,صب مركز,Center pour,,,,,,,,,,,,
,,,,كاليتا,KW15,ألتورا سموث,أLtwra Smwth,٥٠٪ بيرو + ٥٠٪ جواتيمالا,50% Peru + 50% Guatemala,كوب مريح ودافئ، يجمع بين حلاوة الفول السوداني المحمص ودفء القرفة العطرية.,"Comforting cup.
Flavor profile: cinnamon; balanced acidity; full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 5,إضافة عود قرفة,"add cinnamon stick, cinnamon",,,,,,,,,,,,
,,,,كاليتا,KW16,روبوستا كريم,Rwbwsta Cream,٦٠٪ برازيلي روبيستا + ٤٠٪ فيتنامي,60% Brazilian Robusta + 40% Vietnamese,قوة ومتعة في فنجان واحد، يجمع بين النكهة الدخانية الكلاسيكية وحلاوة الكراميل الداكن.,"Signature cup.
Flavor profile: caramel; very low acidity; full body.",وضوح 1 / حمضية 1 / عطرية 3 / تعقيد 2 / قوام 5,Clarity 1 / Acidity 1 / Fragrance 3 / Complexity 2 / Body 5,ماء 92°م,water 92°C,,,,,,,,,,,,
,,,,كاليتا,KW17,توفي كولومبيا بالانس,Twfy Colombia Balance,١٠٠٪ كولومبي (فاتح),100% Colombian (فاتح),فنجان رقيق ومريح كالشاي، يجمع بين نكهات الأعشاب العطرية وحلاوة العسل الصافي.,"Comforting cup.
Flavor profile: honey; bright acidity; medium body.",وضوح 5 / حمضية 4 / عطرية 4 / تعقيد 3 / قوام 3,Clarity 5 / Acidity 4 / Fragrance 4 / Complexity 3 / Body 3,صب بطيء على 4 مراحل,slow,,,,,,,,,,,,
,,,,كاليتا,KW18,كاليتا شوكولاتة برتقالية,Kalita Shwkwlata Brtqalya,٤٠٪ كولومبي + ٤٠٪ يمني + ٢٠٪ برازيلي,40% Colombian + 40% Yemeni + 20% Brazilian,مزيج فاخر، يجمع بين عمق الكاكاو وحمضية البرتقال المنعشة مع لمسة دافئة من جوزة الطيب.,"Luxurious cup.
Flavor profile: cocoa; balanced acidity; medium-full body.",وضوح 4 / حمضية 3 / عطرية 5 / تعقيد 5 / قوام 4,Clarity 4 / Acidity 3 / Fragrance 5 / Complexity 5 / Body 4,رش قشر برتقال مجفف,"add orange peel, dried orange peel",,,,,,,,,,,,
,,,,كاليتا,KW19,أفريكان تويست,أFrykan Twyst,٣٠٪ كيني + ٤٠٪ حبشي + ٣٠٪ أوغندي,30% Kenyan + 40% Ethiopian + 30% Ugandan,احتفال أفريقي، يجمع بين حلاوة التوت ولمسة أنيقة من التوابل الحلوة في فنجان معقد.,"Signature cup.
Flavor profile: berry; high acidity; medium-full body.",وضوح 5 / حمضية 5 / عطرية 5 / تعقيد 5 / قوام 4,Clarity 5 / Acidity 5 / Fragrance 5 / Complexity 5 / Body 4,صب دائري مكثف,Circular pour (intense),,,,,,,,,,,,
,,,,كاليتا,KW20,كاليتا توازن ذهبي,Kalita Twazn Ihby,٥٠٪ كوستا ريكي + ٣٠٪ بيرو + ٢٠٪ جواتيمالا,50% Costa Rican + 30% Peru + 20% Guatemala,توازن مثالي، يجمع بين حلاوة الخوخ الصيفي ونعومة الفانيليا في كوب متناغم وفاخر.,"Luxurious cup.
Flavor profile: peach, vanilla; bright acidity; full body.",وضوح 4 / حمضية 4 / عطرية 5 / تعقيد 5 / قوام 5,Clarity 4 / Acidity 4 / Fragrance 5 / Complexity 5 / Body 5,صب حلزوني بسرعة منخفضة,Spiral pour,,,,,,,,,,,,
,,,,كاليتا,KW21,كاليتا كينيا AA,Kalita Kynya Aa,١٠٠٪ كينا AAA,100% Kenya AAA,تجربة كينية أصيلة، تتميز بحمضية العنب الأسود المشرقة وقوام غني وممتلئ.,"Signature cup.
Flavor profile: high acidity; medium-full body.",وضوح 4 / حمضية 5 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 4 / Acidity 5 / Fragrance 4 / Complexity 5 / Body 4,صب متقطع,Pulse pour,,,,,,,,,,,,
,,,,كاليتا,KW22,كاليتا هويلا سويت,Kalita Huila Sweet,١٠٠٪ بن كولومبي,100% بن Colombian,فنجان حلو ومتوازن، يجمع بين نكهة التفاح الأحمر المنعشة وحلاوة السكر البني الدافئة.,"Refreshing cup.
Flavor profile: apple; bright acidity; medium-full body.",وضوح 4 / حمضية 4 / عطرية 4 / تعقيد 4 / قوام 4,Clarity 4 / Acidity 4 / Fragrance 4 / Complexity 4 / Body 4,صب حلزوني,Spiral pour,,,,,,,,,,,,
,,,,كولد برو,CB-SIG-01,ليالي القاهرة,Lyaly Alqahra,٧٠٪ كولومبي + ٢٠٪ يمني + هيل,70% Colombian + 20% Yemeni + هيل,سهرة في القاهرة، مشروب بارد ناعم بنكهة الشوكولاتة ولمسة دافئة من الهيل.,"Signature cup.
Flavor profile: chocolate, cardamom; low acidity; full body.",وضوح 4 / حمضية 2 / عطرية 5 / تعقيد 4 / قوام 5,Clarity 4 / Acidity 2 / Fragrance 5 / Complexity 4 / Body 5,نقع 16 ساعة,Cold steep; 16 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB-SIG-02,نسمة صيف,Nsma Syf,٨٠٪ حبشي لقميتي + ٢٠٪ كوستا ريكي,80% Ethiopian Lekemti + 20% Costa Rican,نسمة صيف منعشة، مشروب بارد يجمع بين رائحة الزهور وحمضية الفواكه المنعشة.,"Refreshing cup.
Flavor profile: floral; balanced acidity; medium body.",وضوح 5 / حمضية 3 / عطرية 5 / تعقيد 4 / قوام 3,Clarity 5 / Acidity 3 / Fragrance 5 / Complexity 4 / Body 3,نقع 20 ساعة,Cold steep; 20 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB01,توليفتي™ إثيوبيا كولد,Tawlifti Ethiopia Cold,١٠٠٪ حبشي هراري,100% Ethiopian Harrar,مشروب بارد نقي وعطري، يجمع بين رائحة الياسمين الفواحة وحمضية الليمون المنعشة.,"Refreshing cup.
Flavor profile: jasmine; low acidity; medium body.",وضوح 5 / حمضية 2 / عطرية 5 / تعقيد 4 / قوام 3,Clarity 5 / Acidity 2 / Fragrance 5 / Complexity 4 / Body 3,نقع 18 ساعة، ماء 5°م,Cold steep; 18 hrs; water 5°C.,,,,,,,,,,,,
,,,,كولد برو,CB02,توليفتي™ كينيا كولد,Tawlifti Kynya Cold,١٠٠٪ كينا AAA,100% Kenya AAA,مشروب كيني بارد وجريء، يجمع بين حمضية العنب الأسود اللاذعة ولمسة من التوابل الوردية.,"Bold cup.
Flavor profile: balanced acidity; medium-full body.",وضوح 4 / حمضية 3 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 4 / Acidity 3 / Fragrance 4 / Complexity 5 / Body 4,نقع 24 ساعة، تحريك أولي,Cold steep; 24 hrs; initial stir.,,,,,,,,,,,,
,,,,كولد برو,CB03,توليفتي™ كولومبيا كولد,Tawlifti Colombia Cold,٧٠٪ كولومبي + ٣٠٪ برازيلي,70% Colombian + 30% Brazilian,مشروب بارد ومتوازن، يجمع بين حلاوة التفاح الأخضر ونعومة العسل الصافي.,"Signature cup.
Flavor profile: honey, apple; low acidity; full body.",وضوح 4 / حمضية 2 / عطرية 3 / تعقيد 3 / قوام 5,Clarity 4 / Acidity 2 / Fragrance 3 / Complexity 3 / Body 5,نقع 12 ساعة، ماء 4°م,Cold steep; 12 hrs; water 4°C.,,,,,,,,,,,,
,,,,كولد برو,CB04,توليفتي™ كوستاريكا كولد,Tawlifti Costa Rica Cold,١٠٠٪ كوستا ريكي,100% Costa Rican,كوب بارد وحلو، يجمع بين حلاوة عسل الأكاسيا ونكهة الخوخ الصيفي المنعشة.,"Refreshing cup.
Flavor profile: honey, peach; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 4 / تعقيد 3 / قوام 5,Clarity 3 / Acidity 2 / Fragrance 4 / Complexity 3 / Body 5,نقع 20 ساعة,Cold steep; 20 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB05,موكا آيسد,Mocha آYsd,١٠٠٪ يمني خولاني + هيل,100% Yemeni Khawlani + هيل,تجربة يمنية باردة، تجمع بين عمق الكاكاو الخام وحلاوة التمر مع لمسة فاخرة من الهيل.,"Luxurious cup.
Flavor profile: cocoa, cardamom, date; very low acidity; full body.",وضوح 2 / حمضية 1 / عطرية 5 / تعقيد 5 / قوام 5,Clarity 2 / Acidity 1 / Fragrance 5 / Complexity 5 / Body 5,نقع 18 ساعة + ½ ملعقة هيل,Cold steep; 18 hrs; add 1/2 tsp cardamom.,,,,,,,,,,,,
,,,,كولد برو,CB06,أنتيغوا آيس,Antigua آYs,١٠٠٪ جواتيمالا,100% Guatemala,مشروب بارد وغني، يجمع بين حلاوة الكرز الداكن وعمق الشوكولاتة الفاخرة.,"Luxurious cup.
Flavor profile: chocolate; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 3 / Acidity 2 / Fragrance 4 / Complexity 4 / Body 5,نقع 16 ساعة,Cold steep; 16 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB07,بيرو العضوي كولد,Byrw Aladwy Cold,١٠٠٪ بيرو,100% Peru,كوب عضوي بارد ومنعش، يجمع بين حلاوة الأناناس الاستوائية وحلاوة قصب السكر الطبيعية.,"Refreshing cup.
Flavor profile: pineapple; balanced acidity; medium-full body.",وضوح 4 / حمضية 3 / عطرية 3 / تعقيد 3 / قوام 4,Clarity 4 / Acidity 3 / Fragrance 3 / Complexity 3 / Body 4,نقع 14 ساعة,Cold steep; 14 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB08,مانديلينج آيس,Mandheling آYs,٦٠٪ هندي مايسور + ٤٠٪ إندونيسي,60% Indian Mysore + 40% Indonesian,مشروب بارد غني وعميق، يجمع بين حلاوة توت العليق والنكهات الترابية الأصيلة.,"Signature cup.
Flavor profile: berry; very low acidity; full body.",وضوح 2 / حمضية 1 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 2 / Acidity 1 / Fragrance 4 / Complexity 4 / Body 5,نقع 24 ساعة,Cold steep; 24 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB09,دا لات آيسد,Da Lat آYsd,٨٠٪ فيتنامي + ٢٠٪ برازيلي,80% Vietnamese + 20% Brazilian,مشروب بارد وقوي، بنكهة الكراميل المحروق وحلاوة جوز الهند.,"Bold cup.
Flavor profile: caramel; very low acidity; full body.",وضوح 1 / حمضية 1 / عطرية 3 / تعقيد 2 / قوام 5,Clarity 1 / Acidity 1 / Fragrance 3 / Complexity 2 / Body 5,نقع 18 ساعة,Cold steep; 18 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB10,أفريكان كولد,أFrykan Cold,٥٠٪ كيني + ٥٠٪ حبشي لقميتي,50% Kenyan + 50% Ethiopian Lekemti,احتفال أفريقي بارد، يجمع بين حمضية اليوسفي المنعشة ولمسة الزنجبيل الحارة.,"Refreshing cup.
Flavor profile: bright acidity; medium body.",وضوح 5 / حمضية 4 / عطرية 5 / تعقيد 5 / قوام 3,Clarity 5 / Acidity 4 / Fragrance 5 / Complexity 5 / Body 3,نقع 20 ساعة + قشر برتقال,Cold steep; 20 hrs; add orange peel.,,,,,,,,,,,,
,,,,كولد برو,CB11,سيرادو كولد,Cerrado Cold,٩٠٪ برازيلي + ١٠٪ كولومبي,90% Brazilian + 10% Colombian,مشروب برازيلي كلاسيكي بارد، يجمع بين نكهة البندق المحمص وحلاوة الكراميل.,"Signature cup.
Flavor profile: caramel, hazelnut; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 3.5 / تعقيد 2.5 / قوام 5,Clarity 3 / Acidity 2 / Fragrance 3.5 / Complexity 2.5 / Body 5,نقع 16 ساعة,Cold steep; 16 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB12,كونا آيسد,Kwna آYsd,٧٠٪ برازيلي + ٣٠٪ كوستا ريكي,70% Brazilian + 30% Costa Rican,تجربة استوائية باردة، تجمع بين نعومة الفانيليا وحلاوة الأناناس المنعشة.,"Refreshing cup.
Flavor profile: pineapple, vanilla; balanced acidity; full body.",وضوح 3 / حمضية 3 / عطرية 4 / تعقيد 4 / قوام 5,Clarity 3 / Acidity 3 / Fragrance 4 / Complexity 4 / Body 5,نقع 14 ساعة,Cold steep; 14 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB13,أوغندا روبوستا آيس,أWghnda Rwbwsta آYs,١٠٠٪ أوغندي,100% Ugandan,مشروب قوي ومركز، بنكهة الكاكاو المر واللمسة الدخانية الكلاسيكية.,"Bold cup.
Flavor profile: cocoa; very low acidity; full body.",وضوح 1 / حمضية 1 / عطرية 2 / تعقيد 1 / قوام 5,Clarity 1 / Acidity 1 / Fragrance 2 / Complexity 1 / Body 5,نقع 12 ساعة,Cold steep; 12 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB14,كولومبيا بالعسل,Colombia Balasl,١٠٠٪ كولومبي + عسل,100% Colombian + عسل,حلاوة مضاعفة، يجمع بين نكهة التفاح الأحمر وحلاوة عسل الأوكالبتوس الطبيعي.,"Signature cup.
Flavor profile: honey, apple; low acidity; medium-full body.",وضوح 4 / حمضية 2 / عطرية 5 / تعقيد 4 / قوام 4,Clarity 4 / Acidity 2 / Fragrance 5 / Complexity 4 / Body 4,نقع 18 ساعة + عسل عند التقديم,Cold steep; 18 hrs; add honey at serve.,,,,,,,,,,,,
,,,,كولد برو,CB15,سيدامو آيس,Sidamo آYs,١٠٠٪ حبشي لقميتي,100% Ethiopian Lekemti,مشروب إثيوبي بارد ونقي، يجمع بين حمضية البرتقال ونعومة الشاي الأخضر.,"Signature cup.
Flavor profile: balanced acidity; light body.",وضوح 5 / حمضية 3 / عطرية 5 / تعقيد 4 / قوام 2,Clarity 5 / Acidity 3 / Fragrance 5 / Complexity 4 / Body 2,نقع 16 ساعة,Cold steep; 16 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB16,مونسونيد آيسد,Mwnswnyd آYsd,٨٠٪ هندي أرابيكا + ٢٠٪ هندي روبيستا,80% Indian Arabica + 20% Indian Robusta,مشروب هندي فريد، يجمع بين دفء التوابل الذهبية وحلاوة التمر الهندي اللاذعة.,"Comforting cup.
Flavor profile: date; very low acidity; medium-full body.",وضوح 2 / حمضية 1 / عطرية 4 / تعقيد 5 / قوام 4,Clarity 2 / Acidity 1 / Fragrance 4 / Complexity 5 / Body 4,نقع 24 ساعة,Cold steep; 24 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB17,ألتورا كولد,أLtwra Cold,٥٥٪ بيرو + ٤٥٪ جواتيمالا,55% Peru + 45% Guatemala,مشروب بارد ومريح، يجمع بين حلاوة الفول السوداني المحمص ودفء القرفة العطرية.,"Comforting cup.
Flavor profile: cinnamon; low acidity; full body.",وضوح 3 / حمضية 2 / عطرية 4 / تعقيد 4 / قوام 5.5,Clarity 3 / Acidity 2 / Fragrance 4 / Complexity 4 / Body 5.5,نقع 18 ساعة + عود قرفة,Cold steep; 18 hrs; add cinnamon.,,,,,,,,,,,,
,,,,كولد برو,CB18,روبوستا آيسد,Rwbwsta آYsd,٥٥٪ برازيلي روبيستا + ٤٥٪ فيتنامي,55% Brazilian Robusta + 45% Vietnamese,قوة مركزة، مشروب بارد بنكهة الكراميل الأسود وعمق الكاكاو الخام.,"Signature cup.
Flavor profile: caramel, cocoa; very low acidity; full body.",وضوح 1 / حمضية 1 / عطرية 3 / تعقيد 2.2 / قوام 5,Clarity 1 / Acidity 1 / Fragrance 3 / Complexity 2.2 / Body 5,نقع 12 ساعة,Cold steep; 12 hrs.,,,,,,,,,,,,
,,,,كولد برو,CB19,توفي إثيوبيا كولد,Twfy Ethiopia Cold,٩٠٪ حبشي هراري + ١٠٪ كولومبي,90% Ethiopian Harrar + 10% Colombian,مشروب بارد فاخر، يجمع بين عطرية الشاي الفاخر وحمضية التوت البري المنعشة.,"Luxurious cup.
Flavor profile: berry; low acidity; medium-full body.",وضوح 5 / حمضية 2 / عطرية 5 / تعقيد 4.5 / قوام 3.5,Clarity 5 / Acidity 2 / Fragrance 5 / Complexity 4.5 / Body 3.5,نقع 20 ساعة,Cold steep; 20 hrs.,,,,,,,,,,,,
